self-learning capability?,Extra-courses did,Taken inputs from seniors or elders,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role,Technical Score,Communication Score,Learning Score,Professional Score,Leadership Score,Personality Score,Career Readiness,Book_Category,Certification_Category,Workshop_Category,Subject_Category,Career_Area,Company_Category
1,1,0,1,1,0,0,3,6,7,2,15,1,8,4.700000000000001,1,4,0,4,1,1
1,0,1,0,1,0,1,3,7,15,2,24,1,15,7.100000000000001,1,0,1,0,3,0
0,0,1,0,0,0,1,3,12,9,1,22,1,9,7.400000000000001,6,2,1,1,0,1
1,1,0,0,1,1,0,3,14,8,2,24,2,9,8.3,5,1,2,1,3,0
1,0,1,0,0,0,0,3,11,12,2,25,1,13,7.950000000000001,5,1,3,0,2,1
0,1,0,0,1,1,1,3,16,11,1,28,2,11,9.65,2,0,0,3,0,3
0,1,1,1,0,0,1,3,12,7,2,21,1,7,7.100000000000001,4,0,0,2,3,1
1,0,1,1,0,0,0,3,20,7,2,29,1,8,10.3,3,1,1,1,0,0
0,0,1,0,1,1,0,3,16,7,1,24,2,8,8.65,5,0,2,4,1,4
0,1,0,0,1,0,0,3,21,5,1,27,1,6,10.0,2,3,3,3,3,0
0,0,0,1,1,0,0,3,16,12,0,28,1,13,9.55,0,3,3,1,0,3
1,0,0,0,1,0,1,3,9,9,1,19,1,9,6.2,2,3,3,1,0,0
0,0,0,1,1,0,0,3,17,7,0,24,1,8,8.700000000000001,3,0,3,4,3,0
0,0,0,1,1,0,0,3,15,7,0,22,1,8,7.9,1,3,2,1,3,0
0,1,0,1,0,0,1,3,15,6,1,22,1,6,7.8500000000000005,2,3,3,1,1,0
1,0,0,0,0,1,0,3,18,10,1,29,2,11,10.2,2,3,1,4,1,1
1,1,1,0,1,1,0,3,8,8,3,19,2,9,6.1000000000000005,3,1,2,1,0,4
1,1,1,0,0,0,1,3,8,13,3,24,1,13,7.200000000000001,3,2,2,0,0,0
0,0,1,0,0,1,0,3,14,12,1,27,2,13,9.100000000000001,6,3,1,0,1,3
1,0,0,1,1,0,1,3,10,7,1,18,1,7,6.1000000000000005,6,1,2,1,2,0
1,0,1,1,0,1,0,3,13,12,2,27,2,13,8.9,6,3,2,1,3,3
0,0,0,0,1,1,0,3,14,6,0,20,2,7,7.4,0,2,0,0,2,0
0,1,0,1,1,1,1,3,8,7,1,16,2,7,5.45,0,0,3,1,0,0
1,0,0,1,0,0,1,3,17,11,1,29,1,11,9.9,1,2,3,1,1,1
1,0,0,1,1,0,0,3,7,9,1,17,1,10,5.400000000000001,6,3,2,4,3,0
1,0,1,0,0,1,1,3,8,7,2,17,2,7,5.65,6,3,1,3,3,0
1,0,0,1,0,0,0,3,14,11,1,26,1,12,8.700000000000001,5,1,1,3,1,1
1,1,1,1,0,0,1,3,10,8,3,21,1,8,6.75,2,3,2,0,1,0
1,0,0,0,0,0,1,3,13,10,1,24,1,10,8.05,5,3,0,1,0,4
0,1,0,1,0,0,1,3,6,7,1,14,1,7,4.500000000000001,3,3,1,4,1,0
1,1,1,0,1,0,1,3,16,5,3,24,1,5,8.4,6,2,1,0,2,3
1,1,1,1,1,1,1,3,17,15,3,35,2,15,11.450000000000001,2,2,1,1,3,0
0,1,1,0,0,0,1,3,12,6,2,20,1,6,6.850000000000001,3,1,3,4,2,0
1,0,1,0,0,0,1,3,13,6,2,21,1,6,7.250000000000001,6,0,1,1,3,4
0,0,0,0,0,1,1,3,7,12,0,19,2,12,6.1000000000000005,3,2,0,0,0,0
0,0,1,1,0,0,1,3,12,7,1,20,1,7,6.900000000000001,1,2,3,0,3,1
1,1,1,0,0,0,0,3,9,14,3,26,1,15,7.85,1,1,2,4,1,4
1,0,1,1,1,1,1,3,15,3,2,20,2,3,7.45,0,2,1,1,3,2
1,1,1,0,1,0,1,3,19,8,3,30,1,8,10.350000000000001,2,3,2,0,0,3
1,0,0,1,0,1,1,3,6,12,1,19,2,12,5.9,5,1,3,1,3,4
1,0,1,0,1,0,0,3,17,11,2,30,1,12,10.100000000000001,6,2,2,0,3,0
0,1,1,1,0,0,0,3,10,12,2,24,1,13,7.550000000000001,6,3,3,1,1,3
0,1,0,1,0,1,1,3,14,4,1,19,2,4,7.1000000000000005,6,1,1,2,0,0
0,0,1,0,1,1,1,3,5,12,1,18,2,12,5.5,1,2,1,1,3,3
1,1,1,1,1,1,0,3,10,9,3,22,2,10,7.1499999999999995,2,2,1,2,3,0
0,0,0,1,1,1,1,3,10,6,0,16,2,6,5.8,0,1,3,1,3,4
0,1,0,1,0,0,1,3,22,7,1,30,1,7,10.9,6,3,3,0,0,1
0,0,0,0,0,1,1,3,14,9,0,23,2,9,8.15,5,1,3,1,2,1
1,0,1,1,0,1,1,3,13,9,2,24,2,9,8.15,0,1,0,4,2,0
0,1,1,0,1,0,1,3,19,9,2,30,1,9,10.400000000000002,0,0,1,4,1,1
0,0,1,1,0,0,1,3,15,12,1,28,1,12,9.35,3,2,0,4,3,2
0,1,1,0,1,0,0,3,11,10,2,23,1,11,7.450000000000001,3,3,0,1,3,4
1,1,1,0,1,1,0,3,11,8,3,22,2,9,7.3,4,2,1,1,2,2
1,1,0,1,1,0,1,3,13,8,2,23,1,8,7.750000000000001,6,2,3,0,0,0
1,1,1,0,1,1,0,3,13,8,3,24,2,9,8.100000000000001,3,0,2,0,3,2
1,1,0,0,0,0,1,3,12,10,2,24,1,10,7.850000000000001,1,2,1,4,3,4
1,1,0,1,0,1,1,3,13,7,2,22,2,7,7.65,3,3,2,2,1,0
0,0,0,0,1,0,1,3,11,8,0,19,1,8,6.550000000000001,5,4,3,1,3,2
0,1,0,0,1,1,1,3,16,9,1,26,2,9,9.15,4,3,1,4,2,4
1,0,0,0,0,0,1,3,9,8,1,18,1,8,5.95,5,3,1,4,0,4
0,1,1,0,0,1,0,3,15,9,2,26,2,10,8.950000000000001,5,2,2,4,3,3
0,1,0,1,0,1,1,3,16,13,1,30,2,13,10.15,5,3,1,3,3,1
1,1,1,0,0,1,0,3,6,12,3,21,2,13,6.3,6,3,1,4,2,0
0,0,1,0,0,0,1,3,13,3,1,17,1,3,6.300000000000001,5,4,2,0,3,0
1,1,0,1,1,0,1,3,18,10,2,30,1,10,10.25,0,3,3,1,3,0
0,0,0,1,1,1,0,3,10,11,0,21,2,12,7.05,0,2,2,0,2,2
0,1,0,0,0,0,0,3,16,7,1,24,1,8,8.5,2,3,2,3,0,0
1,1,1,1,1,1,1,3,5,12,3,20,2,12,5.8999999999999995,2,3,1,1,1,4
0,1,1,0,1,1,1,3,14,12,2,28,2,12,9.300000000000002,2,3,3,4,3,2
1,1,0,1,1,0,0,3,13,4,2,19,1,5,6.750000000000001,2,3,3,0,2,2
0,0,1,1,1,1,1,3,15,12,1,28,2,12,9.5,1,2,0,0,1,4
1,0,0,0,0,1,0,3,14,6,1,21,2,7,7.6000000000000005,5,1,2,3,2,0
1,0,0,1,0,1,1,3,17,11,1,29,2,11,10.05,2,0,2,4,2,1
1,1,1,1,0,1,1,3,11,13,3,27,2,13,8.55,5,3,3,0,3,0
1,0,0,1,1,0,0,3,3,12,1,16,1,13,4.550000000000001,1,3,1,4,3,4
1,0,0,0,1,0,1,3,17,12,1,30,1,12,10.15,0,2,3,0,3,0
0,1,0,0,0,1,0,3,10,7,1,18,2,8,6.25,3,2,1,4,3,4
0,0,0,1,1,0,0,3,11,11,0,22,1,12,7.300000000000001,5,3,2,4,1,3
1,1,0,0,0,1,1,3,11,9,2,22,2,9,7.3500000000000005,3,3,3,1,0,4
1,1,1,0,0,1,1,3,8,14,3,25,2,14,7.6000000000000005,5,2,1,4,3,0
1,1,1,1,0,0,1,3,6,11,3,20,1,11,5.9,0,3,3,1,1,0
0,0,1,1,1,1,0,3,11,7,1,19,2,8,6.65,3,2,2,1,3,1
1,0,1,0,0,0,1,3,22,8,2,32,1,8,11.350000000000001,3,1,2,4,3,3
1,1,1,0,0,0,1,3,12,11,3,26,1,11,8.3,3,3,0,1,3,1
0,1,1,1,1,1,0,3,13,4,2,19,2,5,6.9,5,3,0,4,3,2
1,0,0,0,0,1,1,3,11,12,1,24,2,12,7.9,3,3,3,4,3,4
1,1,1,0,1,1,0,3,11,6,3,20,2,7,6.8,0,2,0,4,3,3
0,0,1,0,1,0,0,3,14,11,1,26,1,12,8.700000000000001,6,3,3,0,3,3
1,0,0,0,0,1,0,3,21,8,1,30,2,9,10.9,3,0,1,2,3,4
0,0,0,1,1,1,1,3,6,7,0,13,2,7,4.45,1,3,2,4,3,3
1,1,1,1,1,0,0,3,18,13,3,34,1,14,11.2,3,4,1,1,3,1
0,0,1,0,0,1,1,3,18,10,1,29,2,10,10.2,1,3,0,4,1,3
1,0,0,1,0,0,1,3,11,14,1,26,1,14,8.25,6,3,1,1,2,2
0,1,1,1,1,0,1,3,14,10,2,26,1,10,8.650000000000002,2,0,2,1,0,0
1,1,0,1,0,1,0,3,13,10,2,25,2,11,8.4,3,3,2,1,3,3
1,0,1,0,1,0,0,3,10,8,2,20,1,9,6.550000000000001,6,3,2,0,0,3
0,0,0,1,1,0,1,3,16,6,0,22,1,6,8.05,0,4,1,4,0,0
0,0,0,0,1,1,0,3,12,11,0,23,2,12,7.8500000000000005,3,4,0,0,1,1
0,1,1,0,0,0,1,3,7,12,2,21,1,12,6.350000000000001,3,1,3,1,1,2
0,1,1,0,0,1,0,3,9,7,2,18,2,8,6.05,0,3,1,4,3,0
1,0,1,0,1,0,1,3,16,14,2,32,1,14,10.450000000000001,0,3,3,1,2,3
0,0,0,1,1,0,0,3,12,10,0,22,1,11,7.450000000000001,0,3,2,0,2,3
1,0,0,1,0,0,1,3,8,11,1,20,1,11,6.300000000000001,2,3,0,1,3,0
0,0,1,0,0,1,1,3,9,10,1,20,2,10,6.6,1,3,1,3,2,0
1,1,0,1,0,0,0,3,6,9,2,17,1,10,5.200000000000001,3,3,0,4,2,0
1,1,1,0,1,0,0,3,11,6,3,20,1,7,6.65,5,3,0,0,2,0
0,0,0,0,0,0,1,3,10,3,0,13,1,3,4.9,3,2,2,1,0,2
0,1,1,1,0,1,0,3,19,6,2,27,2,7,9.800000000000002,2,3,0,4,1,0
1,0,1,1,0,0,1,3,12,6,2,20,1,6,6.850000000000001,6,3,0,3,3,3
1,1,1,0,1,0,1,3,13,11,3,27,1,11,8.700000000000001,1,2,1,0,2,4
1,0,0,1,0,0,1,3,14,10,1,25,1,10,8.450000000000001,0,3,0,4,1,2
0,0,0,1,0,0,0,3,12,6,0,18,1,7,6.450000000000001,1,3,2,1,3,0
0,1,0,0,1,1,1,3,12,9,1,22,2,9,7.550000000000001,6,3,3,1,1,1
1,0,0,1,0,1,0,3,8,11,1,20,2,12,6.45,6,3,3,1,3,3
1,0,0,1,0,1,1,3,14,11,1,26,2,11,8.850000000000001,1,2,2,4,3,4
1,1,0,0,0,1,1,3,13,12,2,27,2,12,8.9,1,1,2,1,0,3
0,1,0,0,1,1,0,3,11,10,1,22,2,11,7.4,1,3,3,0,1,3
0,0,0,1,1,0,0,3,13,7,0,20,1,8,7.1000000000000005,1,2,0,0,3,1
0,0,0,0,1,0,1,3,12,7,0,19,1,7,6.700000000000001,3,3,0,2,2,0
0,0,0,0,1,0,1,3,12,12,0,24,1,12,7.950000000000001,1,3,3,3,2,2
1,0,1,1,1,1,1,3,9,7,2,18,2,7,6.05,4,3,2,2,3,1
0,1,0,1,1,1,0,3,11,13,1,25,2,14,8.15,1,0,1,4,3,0
1,0,0,1,0,1,0,3,16,7,1,24,2,8,8.65,2,3,3,2,0,0
0,1,1,0,0,0,0,3,18,4,2,24,1,5,8.75,1,4,2,3,3,0
1,1,0,1,1,0,1,3,10,7,2,19,1,7,6.300000000000001,2,3,3,4,2,3
0,0,1,0,1,1,1,3,16,13,1,30,2,13,10.15,3,4,1,3,2,3
1,0,0,1,0,1,1,3,9,6,1,16,2,6,5.6,6,2,0,2,2,3
0,0,1,0,1,1,0,3,9,8,1,18,2,9,6.1,1,3,2,1,3,4
1,0,1,1,1,1,1,3,6,5,2,13,2,5,4.3500000000000005,1,3,3,1,3,4
1,1,0,0,0,0,1,3,17,11,2,30,1,11,10.100000000000001,1,4,0,0,3,4
0,1,0,0,0,0,0,3,16,8,1,25,1,9,8.75,3,3,2,1,3,0
1,0,1,1,1,1,0,3,8,4,2,14,2,5,4.9,3,1,1,2,2,4
0,0,1,0,0,1,1,3,17,6,1,24,2,6,8.8,6,3,2,2,0,4
0,0,0,1,0,1,1,3,10,8,0,18,2,8,6.3,5,2,1,4,3,0
0,0,0,1,0,0,1,3,11,7,0,18,1,7,6.300000000000001,3,2,0,0,1,0
0,0,0,1,1,0,0,3,15,12,0,27,1,13,9.15,3,2,2,0,3,4
1,0,0,0,1,1,0,3,12,10,1,23,2,11,7.800000000000001,2,3,1,1,1,0
1,0,1,1,0,0,0,3,14,10,2,26,1,11,8.650000000000002,0,1,3,4,3,4
0,1,1,0,0,0,0,3,12,13,2,27,1,14,8.600000000000001,5,4,2,4,2,0
0,0,0,1,1,0,0,3,15,5,0,20,1,6,7.4,5,1,3,3,3,1
1,1,0,0,1,0,0,3,6,9,2,17,1,10,5.200000000000001,0,1,2,4,0,1
0,0,0,1,0,1,1,3,11,13,0,24,2,13,7.95,2,1,2,1,3,0
1,0,1,1,0,1,0,3,9,13,2,24,2,14,7.55,0,3,2,4,3,4
0,0,0,0,0,0,1,3,16,5,0,21,1,5,7.800000000000001,0,3,3,4,3,3
1,0,0,1,1,0,1,3,20,7,1,28,1,7,10.1,5,3,1,4,2,1
0,1,0,1,0,1,0,3,14,7,1,22,2,8,7.8500000000000005,5,4,1,3,3,0
1,1,1,1,0,1,0,3,11,12,3,26,2,13,8.3,5,1,0,1,3,1
0,1,1,0,1,1,0,3,10,10,2,22,2,11,7.2,5,2,2,1,0,1
0,1,1,0,1,1,0,3,13,12,2,27,2,13,8.9,4,2,0,4,3,0
0,0,0,1,1,1,0,3,8,12,0,20,2,13,6.5,2,2,1,4,3,1
1,1,1,1,1,0,1,3,12,4,3,19,1,4,6.550000000000001,5,3,1,1,0,0
1,1,1,0,1,1,0,3,18,14,3,35,2,15,11.6,5,3,0,1,0,1
0,1,1,0,1,1,1,3,12,7,2,21,2,7,7.250000000000001,2,3,0,4,3,4
1,0,1,0,1,1,1,3,15,6,2,23,2,6,8.200000000000001,5,3,3,1,3,4
1,1,0,0,1,0,1,3,8,11,2,21,1,11,6.500000000000001,0,3,1,4,1,3
1,1,1,1,1,0,0,3,3,11,3,17,1,12,4.700000000000001,1,4,1,4,0,2
0,0,0,1,1,0,1,3,18,8,0,26,1,8,9.35,1,2,1,3,0,0
0,1,1,1,0,1,1,3,16,12,2,30,2,12,10.100000000000001,3,3,3,4,3,4
1,1,0,0,0,0,0,3,18,8,2,28,1,9,9.75,1,0,0,1,3,2
1,1,1,1,0,0,1,3,16,6,3,25,1,6,8.65,0,0,2,3,0,3
0,0,0,0,1,1,1,3,9,4,0,13,2,4,4.8999999999999995,0,0,0,2,3,2
1,1,0,1,0,1,1,3,13,10,2,25,2,10,8.4,1,3,3,1,3,1
1,1,0,0,1,1,0,3,7,8,2,17,2,9,5.500000000000001,6,1,0,2,2,3
0,0,1,0,1,0,1,3,23,11,1,35,1,11,12.3,5,1,0,2,3,4
0,0,1,1,1,0,1,3,9,6,1,16,1,6,5.45,1,1,3,1,3,0
1,1,1,1,0,1,1,3,15,6,3,24,2,6,8.4,3,3,1,3,3,2
0,0,0,0,1,1,0,3,15,5,0,20,2,6,7.55,3,3,3,0,3,0
0,1,0,0,0,0,1,3,16,10,1,27,1,10,9.25,1,1,3,1,3,0
0,0,1,1,0,0,1,3,9,10,1,20,1,10,6.45,2,0,3,1,1,1
0,1,1,0,0,0,1,3,14,12,2,28,1,12,9.150000000000002,2,0,0,0,2,1
0,1,0,1,0,0,0,3,16,5,1,22,1,6,8.0,5,2,1,1,1,4
1,0,1,0,1,0,0,3,16,5,2,23,1,6,8.200000000000001,6,0,3,0,2,0
0,1,0,1,1,1,1,3,8,11,1,20,2,11,6.45,6,3,0,4,3,1
1,1,0,1,1,0,0,3,10,6,2,18,1,7,6.050000000000001,2,3,2,0,1,0
1,0,1,1,1,1,0,3,12,11,2,25,2,12,8.250000000000002,0,3,2,4,3,2
1,1,1,1,1,1,0,3,15,8,3,26,2,9,8.9,5,1,3,2,3,1
1,1,1,1,1,0,1,3,6,12,3,21,1,12,6.15,0,1,3,4,3,3
0,1,1,0,1,1,1,3,18,4,2,24,2,4,8.9,1,3,2,3,2,4
0,1,1,1,0,0,1,3,15,12,2,29,1,12,9.55,1,0,0,3,1,2
0,0,1,1,0,1,1,3,10,6,1,17,2,6,6.0,1,3,0,4,3,0
1,0,1,1,0,0,0,3,19,8,2,29,1,9,10.150000000000002,6,3,1,1,2,0
0,0,1,0,1,1,1,3,12,8,1,21,2,8,7.300000000000001,0,1,0,1,3,0
0,1,0,1,1,0,0,3,17,7,1,25,1,8,8.9,1,3,3,4,3,1
0,0,1,0,0,1,0,3,12,3,1,16,2,4,6.050000000000001,1,3,2,3,0,1
0,0,1,1,1,1,0,3,4,9,1,14,2,10,4.35,3,4,2,3,3,1
0,0,0,0,0,1,1,3,10,11,0,21,2,11,7.05,5,3,1,4,0,2
1,1,0,1,0,0,1,3,15,5,2,22,1,5,7.800000000000001,5,2,3,0,3,0
1,0,0,1,0,0,0,3,10,7,1,18,1,8,6.1000000000000005,3,4,2,4,3,3
1,0,1,0,1,1,1,3,11,7,2,20,2,7,6.8500000000000005,1,3,0,1,0,3
1,1,0,0,0,0,1,3,19,12,2,33,1,12,11.150000000000002,1,1,3,1,0,3
1,1,1,1,1,0,1,3,18,11,3,32,1,11,10.7,1,0,2,0,3,1
0,1,1,0,0,1,1,3,10,12,2,24,2,12,7.7,0,2,1,4,1,4
1,1,0,0,0,0,0,3,12,9,2,23,1,10,7.600000000000001,3,2,3,4,1,0
1,0,0,0,1,1,0,3,10,6,1,17,2,7,6.0,5,0,0,4,3,4
1,0,1,1,1,1,1,3,9,5,2,16,2,5,5.55,3,3,0,3,3,0
0,1,1,0,1,0,0,3,11,7,2,20,1,8,6.700000000000001,3,4,3,4,3,0
0,0,1,1,0,1,1,3,17,8,1,26,2,8,9.3,6,2,1,1,1,2
0,1,0,0,0,1,0,3,11,12,1,24,2,13,7.9,2,1,0,4,3,1
1,1,0,1,0,0,1,3,20,5,2,27,1,5,9.8,1,3,0,1,2,4
0,0,1,1,0,0,1,3,8,13,1,22,1,13,6.800000000000001,5,3,0,1,1,0
0,0,0,1,0,1,0,3,9,7,0,16,2,8,5.6499999999999995,5,3,3,0,3,1
1,0,0,0,1,1,0,3,18,8,1,27,2,9,9.7,6,3,0,2,3,1
0,0,1,1,1,1,1,3,13,11,1,25,2,11,8.450000000000001,0,3,1,4,3,0
1,1,1,1,0,0,0,3,15,4,3,22,1,5,7.75,5,2,1,0,0,3
1,0,0,0,0,1,1,3,16,9,1,26,2,9,9.15,6,3,3,3,3,0
1,1,0,0,0,0,0,3,12,4,2,18,1,5,6.350000000000001,0,2,0,4,3,0
1,0,1,0,1,1,0,3,20,10,2,32,2,11,11.200000000000001,1,3,1,4,0,0
0,0,1,0,0,0,0,3,14,9,1,24,1,10,8.200000000000001,1,1,2,1,3,3
0,1,0,0,0,1,1,3,21,13,1,35,2,13,12.15,5,3,0,4,0,3
1,1,0,1,0,1,1,3,12,15,2,29,2,15,9.250000000000002,6,0,3,1,1,1
1,0,0,1,1,1,0,3,6,6,1,13,2,7,4.4,0,3,2,1,3,2
1,0,0,0,0,1,0,3,8,10,1,19,2,11,6.2,2,3,0,0,1,0
1,1,1,0,0,0,1,3,17,5,3,25,1,5,8.8,5,3,1,0,0,0
1,0,1,0,0,1,0,3,13,5,2,20,2,6,7.15,3,3,1,1,2,1
0,1,1,0,0,0,1,3,12,7,2,21,1,7,7.100000000000001,6,4,3,1,2,3
0,0,0,0,1,0,0,3,18,7,0,25,1,8,9.1,6,3,0,4,2,0
1,0,0,0,1,0,0,3,14,15,1,30,1,16,9.700000000000001,0,2,3,1,3,0
1,0,0,1,0,1,0,3,13,7,1,21,2,8,7.45,6,2,1,0,0,4
0,1,0,0,0,1,1,3,12,7,1,20,2,7,7.050000000000001,3,2,2,3,0,3
1,0,1,0,1,1,0,3,11,9,2,22,2,10,7.3500000000000005,6,4,1,1,3,3
0,1,0,0,1,1,1,3,18,11,1,30,2,11,10.45,5,3,0,0,3,0
1,1,1,1,1,1,1,3,14,5,3,22,2,5,7.750000000000001,2,3,3,4,3,0
1,0,0,1,1,1,1,3,17,12,1,30,2,12,10.3,0,3,3,4,1,4
1,1,0,1,0,1,1,3,16,14,2,32,2,14,10.600000000000001,6,3,0,3,0,3
1,1,0,0,1,0,0,3,10,4,2,16,1,5,5.550000000000001,2,3,0,0,3,3
0,0,0,0,1,0,1,3,16,7,0,23,1,7,8.3,0,3,2,4,1,4
0,1,1,0,1,1,1,3,6,10,2,18,2,10,5.6000000000000005,3,2,2,4,3,0
0,1,0,1,0,0,1,3,9,9,1,19,1,9,6.2,4,3,0,0,3,2
0,0,0,1,1,0,0,3,5,11,0,16,1,12,4.9,6,3,0,2,0,3
0,0,1,1,0,0,0,3,19,8,1,28,1,9,9.950000000000001,4,0,3,2,3,4
1,1,0,1,1,0,0,3,10,8,2,20,1,9,6.550000000000001,3,3,2,0,3,1
0,0,1,1,0,0,1,3,12,10,1,23,1,10,7.650000000000001,5,3,0,0,3,0
1,0,0,0,1,1,1,3,15,12,1,28,2,12,9.5,0,3,2,1,1,1
1,1,0,0,0,1,0,3,5,7,2,14,2,8,4.45,6,3,3,1,2,3
1,1,1,0,0,1,1,3,4,4,3,11,2,4,3.5,5,4,0,0,3,2
0,1,1,1,0,0,0,3,13,6,2,21,1,7,7.250000000000001,5,0,1,0,0,0
1,1,0,1,0,0,1,3,9,7,2,18,1,7,5.9,0,4,0,0,1,3
1,1,0,1,0,1,1,3,14,11,2,27,2,11,9.050000000000002,3,3,0,4,1,0
1,1,1,0,1,0,1,3,15,13,3,31,1,13,10.0,4,3,1,4,3,4
0,1,1,1,1,1,0,3,6,10,2,18,2,11,5.6000000000000005,6,1,3,1,3,2
1,1,0,1,0,0,0,3,15,6,2,23,1,7,8.05,2,3,1,1,3,1
0,1,1,0,1,1,1,3,9,11,2,22,2,11,7.05,0,4,1,1,3,0
1,0,1,1,1,1,0,3,13,12,2,27,2,13,8.9,5,2,2,0,3,0
1,0,0,0,1,1,0,3,9,9,1,19,2,10,6.35,5,3,1,1,1,3
0,0,1,0,0,0,1,3,15,9,1,25,1,9,8.6,2,3,2,4,2,1
0,0,0,1,1,1,1,3,4,9,0,13,2,9,4.15,2,2,3,1,3,4
0,0,1,1,1,1,0,3,12,11,1,24,2,12,8.05,5,0,3,1,2,4
0,1,0,0,0,1,0,3,4,13,1,18,2,14,5.35,4,2,2,1,3,0
0,0,0,0,1,1,0,3,18,6,0,24,2,7,9.0,0,3,2,4,0,3
0,0,0,0,0,0,0,3,14,10,0,24,1,11,8.250000000000002,2,2,3,0,3,0
1,1,0,0,0,0,0,3,12,6,2,20,1,7,6.850000000000001,1,3,3,4,0,0
0,1,0,1,0,1,0,3,7,14,1,22,2,15,6.800000000000001,0,2,1,1,2,1
0,0,1,1,1,0,1,3,13,11,1,25,1,11,8.3,5,2,0,1,0,0
0,0,1,1,0,0,0,3,14,9,1,24,1,10,8.200000000000001,0,3,3,0,2,4
1,1,1,1,1,1,1,3,13,9,3,25,2,9,8.350000000000001,2,3,2,3,0,4
1,0,0,0,0,1,1,3,9,8,1,18,2,8,6.1,5,0,1,4,0,3
0,1,0,1,0,0,0,3,17,12,1,30,1,13,10.15,5,4,0,1,2,4
1,1,1,0,0,0,1,3,13,8,3,24,1,8,7.950000000000001,0,2,1,0,3,1
1,0,1,0,1,1,0,3,6,9,2,17,2,10,5.3500000000000005,6,1,1,2,3,3
1,0,1,1,1,0,1,3,12,6,2,20,1,6,6.850000000000001,2,3,3,1,3,1
1,1,1,0,0,1,0,3,12,8,3,23,2,9,7.7,3,3,2,4,1,0
0,0,1,1,0,1,0,3,14,14,1,29,2,15,9.600000000000001,2,3,2,2,3,1
1,0,0,1,0,1,0,3,9,6,1,16,2,7,5.6,3,3,3,3,3,4
1,0,1,0,1,0,1,3,8,6,2,16,1,6,5.250000000000001,2,2,1,4,3,2
1,1,0,0,0,0,0,3,12,13,2,27,1,14,8.600000000000001,2,4,0,4,3,4
0,0,0,1,0,0,1,3,15,8,0,23,1,8,8.15,6,3,2,4,3,0
1,1,1,0,0,0,0,3,7,13,3,23,1,14,6.800000000000001,5,3,0,1,3,2
0,0,1,1,1,1,0,3,11,5,1,17,2,6,6.15,5,4,1,2,1,1
1,1,0,1,1,1,0,3,18,9,2,29,2,10,10.15,1,3,1,3,3,1
0,1,0,1,1,1,0,3,10,10,1,21,2,11,7.0,1,4,3,4,3,1
0,0,1,0,0,0,1,3,15,11,1,27,1,11,9.1,5,4,0,4,3,1
0,1,0,1,1,1,1,3,15,10,1,26,2,10,9.0,3,3,1,1,1,4
0,1,0,1,1,0,0,3,8,11,1,20,1,12,6.300000000000001,6,2,0,0,3,0
1,1,1,1,1,0,1,3,11,5,3,19,1,5,6.4,3,0,3,2,3,1
0,1,1,1,0,0,0,3,13,9,2,24,1,10,8.0,3,4,3,4,3,3
1,1,0,0,1,1,1,3,9,12,2,23,2,12,7.3,1,3,0,0,1,0
0,1,1,0,0,1,0,3,14,12,2,28,2,13,9.300000000000002,3,3,3,1,2,4
0,0,1,0,1,1,0,3,8,14,1,23,2,15,7.2,5,0,0,1,3,3
0,0,1,0,0,0,0,3,11,13,1,25,1,14,8.0,0,2,2,4,0,4
